排名,歌名,作者,發行日期,連結
1,Shivers,Ed Sheeran,2021-09-10,https://www.kkbox.com/tw/tc/song/O9m00LN-tYNXGNmtXGNmt0XL-index.html
2,Running Out of Roses,"Alan Walker, Jamie Miller",2021-09-10,https://www.kkbox.com/tw/tc/song/ImR00P5LsUNaUg0haUg0h0XL-index.html
3,Hide and Seek,Peder Elias,2021-08-27,https://www.kkbox.com/tw/tc/song/kJ700Q3W.Q7ck.cNck.cN0XL-index.html
4,THATS WHAT I WANT,Lil Nas X,2021-09-17,https://www.kkbox.com/tw/tc/song/qgS00G5P.K8OBVR-OBVR-0XL-index.html
5,Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17,https://www.kkbox.com/tw/tc/song/DyZ00SOMHS8epDRSepDRS0XL-index.html
6,simple times,Kacey Musgraves,2021-09-10,https://www.kkbox.com/tw/tc/song/rKA00D6PN48KeP5KKeP5K0XL-index.html
7,Sad Boy (feat. Ava Max & Kylie Cantrall),"R3HAB, Jonas Blue, Ava Max, Kylie Cantrall",2021-09-10,https://www.kkbox.com/tw/tc/song/ZU-00LH10MNWq3PLWq3PL0XL-index.html
8,Older,Alec Benjamin,2021-09-17,https://www.kkbox.com/tw/tc/song/A55008KCdY7ClacVClacV0XL-index.html
9,Angel Baby,Troye Sivan,2021-09-10,https://www.kkbox.com/tw/tc/song/sOA00P52O48aSqdwaSqdw0XL-index.html
10,COMING HOME (feat. NIKI),"HONNE, NIKI",2021-08-27,https://www.kkbox.com/tw/tc/song/sVS00S8Ls.reF0uXeF0uX0XL-index.html
11,War With Heaven,keshi,2021-09-03,https://www.kkbox.com/tw/tc/song/izu005563YN8dpIP8dpIP0XL-index.html
12,Acapulco,Jason Derulo,2021-09-03,https://www.kkbox.com/tw/tc/song/s7l00K3SNYNU1Y09U1Y090XL-index.html
13,MONEY,LISA,2021-09-10,https://www.kkbox.com/tw/tc/song/jWL00TP6088hG2ikhG2ik0XL-index.html
14,23,Sam Hunt,2021-09-09,https://www.kkbox.com/tw/tc/song/rvo00W-03YNl7Kotl7Kot0XL-index.html
15,Someday,OneRepublic,2021-08-27,https://www.kkbox.com/tw/tc/song/ndS00-KA7INqVii9qVii90XL-index.html
16,Sunrise,Faime,2021-08-27,https://www.kkbox.com/tw/tc/song/rqY00y35K274xDIb4xDIb0XL-index.html
17,speed limit,Gareth.T,2021-08-26,https://www.kkbox.com/tw/tc/song/Us100LkG7Y7XzvjFXzvjF0XL-index.html
18,Who's In Your Head,Jonas Brothers,2021-09-17,https://www.kkbox.com/tw/tc/song/.jn00CY9cO8JDMr0JDMr00XL-index.html
19,Don't You Hold Me Down,"Alan Walker, Georgia Ku",2021-08-27,https://www.kkbox.com/tw/tc/song/b9K00x-WJ2N3rFWd3rFWd0XL-index.html
20,Like the Water,Patrick Droney,2021-09-17,https://www.kkbox.com/tw/tc/song/BYj005OULYN9TkXt9TkXt0XL-index.html
21,Hurricane,"Ofenbach, Ella Henderson",2021-09-17,https://www.kkbox.com/tw/tc/song/Dkr00y9a5EN5NH5p5NH5p0XL-index.html
22,It's My Life,YOON MI RAE,2021-08-31,https://www.kkbox.com/tw/tc/song/U9m00KbTXMNVTG2xVTG2x0XL-index.html
23,Elvis Song,Maisie Peters,2021-08-27,https://www.kkbox.com/tw/tc/song/QN900.8Cb2NsX.AtsX.At0XL-index.html
24,Borrow Your Time,Fly by Midnight,2021-09-03,https://www.kkbox.com/tw/tc/song/GSQMQ00wJ5ZANmDgXmDgX0X4-index.html
