,ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
0,109/01/02,"4,882,015","476,649,683",97.05,98.00,97.05,97.65,+0.70,"2,421"
1,109/01/03,"6,813,547","665,657,992",98.30,98.70,97.00,97.65, 0.00,"3,080"
2,109/01/06,"9,321,768","901,060,879",97.05,97.10,96.40,96.40,-1.25,"4,809"
3,109/01/07,"6,328,602","607,425,541",96.45,96.70,95.40,96.10,-0.30,"4,116"
4,109/01/08,"8,516,995","813,733,739",95.20,96.20,95.05,95.65,-0.45,"5,033"
5,109/01/09,"7,163,943","693,086,421",96.30,97.10,96.30,96.95,+1.30,"3,879"
6,109/01/10,"9,071,925","882,408,791",97.50,97.80,96.95,97.30,+0.35,"4,900"
7,109/01/13,"6,650,898","650,806,854",97.85,98.10,97.50,98.00,+0.70,"2,883"
8,109/01/14,"11,544,956","1,138,704,185",98.50,98.85,98.40,98.60,+0.60,"6,403"
9,109/01/15,"10,259,354","1,004,716,001",98.70,98.70,97.45,97.60,-1.00,"5,316"
10,109/01/16,"8,686,499","844,614,108",97.15,97.50,97.00,97.30,-0.30,"2,646"
11,109/01/17,"8,121,134","791,003,262",97.70,97.75,97.10,97.30, 0.00,"2,944"
12,109/01/20,"6,969,945","681,688,026",97.55,98.00,97.55,97.70,+0.40,"3,130"
13,109/01/30,"32,262,874","3,014,149,166",95.00,95.00,92.15,92.15,-5.55,"16,273"
14,109/01/31,"22,497,767","2,030,143,514",90.65,90.65,89.65,89.95,X0.00,"11,950"
15,109/02/03,"15,823,593","1,401,640,343",88.50,89.15,87.60,89.05,-0.90,"7,843"
16,109/02/04,"8,904,471","804,708,649",89.45,90.95,89.20,90.60,+1.55,"4,851"
17,109/02/05,"6,701,508","609,037,681",91.00,91.30,90.30,90.85,+0.25,"4,001"
18,109/02/06,"10,696,477","982,277,669",91.65,92.30,91.35,92.30,+1.45,"4,113"
19,109/02/07,"9,554,828","871,832,328",91.65,91.65,90.95,91.20,-1.10,"4,992"
20,109/02/10,"7,308,908","661,411,947",90.00,91.20,89.60,91.00,-0.20,"3,838"
21,109/02/11,"5,115,402","468,988,015",91.35,91.95,91.35,91.75,+0.75,"3,724"
22,109/02/12,"5,640,117","521,567,062",92.00,92.90,92.00,92.65,+0.90,"2,845"
23,109/02/13,"5,754,317","534,947,681",93.00,93.25,92.70,92.80,+0.15,"2,530"
24,109/02/14,"4,988,165","463,738,591",92.80,93.25,92.55,92.95,+0.15,"2,592"
25,109/02/17,"6,266,211","578,240,762",92.30,92.55,91.95,92.30,-0.65,"2,983"
26,109/02/18,"12,529,356","1,143,154,993",91.40,91.60,91.00,91.05,-1.25,"6,041"
27,109/02/19,"7,947,011","730,212,458",91.15,92.25,91.05,92.10,+1.05,"3,934"
28,109/02/20,"6,538,336","599,664,476",92.35,92.50,91.35,91.70,-0.40,"2,619"
29,109/02/21,"5,401,188","493,195,200",91.65,91.95,90.95,91.25,-0.45,"2,963"
30,109/02/24,"13,571,936","1,222,019,338",90.25,90.40,89.70,90.10,-1.15,"7,797"
31,109/02/25,"8,840,104","796,170,580",89.50,90.50,89.45,90.35,+0.25,"3,943"
32,109/02/26,"15,256,003","1,362,216,157",89.15,89.75,88.90,89.45,-0.90,"7,889"
33,109/02/27,"24,688,054","2,190,387,154",89.35,89.50,88.35,88.65,-0.80,"12,829"
34,109/03/02,"27,894,641","2,437,814,508",87.50,88.25,86.85,87.35,-1.30,"12,628"
35,109/03/03,"11,071,900","980,838,153",88.85,88.95,88.25,88.60,+1.25,"5,903"
36,109/03/04,"8,437,415","749,733,154",88.80,89.20,88.40,89.20,+0.60,"3,541"
37,109/03/05,"9,785,483","881,048,721",89.80,90.25,89.75,90.20,+1.00,"5,246"
38,109/03/06,"17,096,376","1,515,504,581",89.65,89.65,88.30,88.35,-1.85,"8,153"
39,109/03/09,"27,734,426","2,389,878,137",86.80,86.80,85.60,85.85,-2.50,"16,049"
40,109/03/10,"23,784,345","2,031,046,781",85.00,86.30,84.90,86.30,+0.45,"10,444"
41,109/03/11,"15,306,570","1,315,633,871",86.45,86.55,85.05,85.30,-1.00,"7,642"
42,109/03/12,"44,910,246","3,702,402,943",84.50,84.50,81.15,82.15,-3.15,"19,425"
43,109/03/13,"53,704,860","4,165,969,502",78.00,81.40,75.95,81.00,-1.15,"22,286"
44,109/03/16,"33,813,951","2,652,927,807",80.00,80.40,76.95,77.30,-3.70,"17,505"
45,109/03/17,"51,145,832","3,843,020,137",74.30,76.70,74.30,74.85,-2.45,"20,922"
46,109/03/18,"46,790,503","3,463,425,684",74.95,75.25,72.80,72.80,-2.05,"23,021"
47,109/03/19,"68,038,340","4,709,268,810",71.00,71.00,67.25,68.55,-4.25,"27,999"
48,109/03/20,"40,910,533","2,966,513,589",71.00,74.00,70.90,74.00,+5.45,"20,786"
49,109/03/23,"22,465,117","1,599,805,748",71.00,72.10,69.55,70.80,-3.20,"12,011"
50,109/03/24,"26,956,843","2,009,808,259",73.85,75.30,73.70,74.25,+3.45,"13,009"
51,109/03/25,"32,687,820","2,515,225,203",76.80,77.45,76.10,76.85,+2.60,"17,188"
52,109/03/26,"19,215,688","1,477,391,870",77.40,77.45,76.00,77.20,+0.35,"9,509"
53,109/03/27,"21,953,901","1,706,695,527",78.30,78.70,76.45,76.60,-0.60,"12,164"
54,109/03/30,"13,605,883","1,021,517,958",74.70,76.15,74.05,75.85,-0.75,"7,322"
55,109/03/31,"9,764,000","745,847,201",76.80,77.20,75.60,76.15,+0.30,"5,249"
56,109/04/01,"9,948,017","757,960,266",76.50,76.65,75.85,75.90,-0.25,"4,967"
57,109/04/06,"12,207,626","935,731,083",76.95,77.10,75.75,77.05,+1.15,"5,824"
58,109/04/07,"15,302,038","1,200,849,513",78.50,78.90,78.05,78.50,+1.45,"8,794"
59,109/04/08,"15,230,698","1,205,900,652",78.50,79.70,78.35,79.60,+1.10,"8,941"
60,109/04/09,"15,650,105","1,242,814,448",79.85,80.10,78.85,79.25,-0.35,"8,547"
61,109/04/10,"5,824,779","460,693,342",79.00,79.35,78.70,79.30,+0.05,"3,348"
62,109/04/13,"7,430,914","586,896,106",79.00,79.40,78.55,78.80,-0.50,"4,389"
63,109/04/14,"13,121,792","1,054,569,152",79.05,80.95,79.05,80.95,+2.15,"7,743"
64,109/04/15,"17,361,116","1,410,800,897",81.25,81.50,81.00,81.20,+0.25,"7,137"
65,109/04/16,"12,409,525","1,001,483,225",80.20,81.10,80.05,80.80,-0.40,"6,925"
66,109/04/17,"34,532,038","2,879,398,225",83.00,84.00,82.70,83.25,+2.45,"11,524"
67,109/04/20,"12,336,416","1,025,144,071",83.25,83.50,82.80,83.00,-0.25,"5,638"
68,109/04/21,"21,082,454","1,712,306,057",82.65,82.65,80.50,80.60,-2.40,"11,037"
69,109/04/22,"10,896,151","871,604,621",80.00,80.60,79.50,80.60, 0.00,"5,607"
70,109/04/23,"13,298,948","1,078,973,188",81.15,82.00,80.30,80.90,+0.30,"5,546"
71,109/04/24,"5,764,752","466,004,912",80.80,81.00,80.45,80.90, 0.00,"3,025"
72,109/04/27,"13,917,724","1,144,296,195",82.15,82.60,81.65,82.55,+1.65,"5,005"
73,109/04/28,"7,556,661","622,421,135",82.90,82.90,82.00,82.55, 0.00,"4,044"
74,109/04/29,"11,874,079","992,546,626",83.05,83.90,82.95,83.70,+1.15,"5,582"
75,109/04/30,"18,785,156","1,597,420,751",84.45,85.50,84.40,85.50,+1.80,"8,305"
76,109/05/04,"15,648,380","1,296,408,090",82.40,83.30,82.20,83.00,-2.50,"8,848"
77,109/05/05,"7,810,636","651,512,279",83.50,83.80,83.00,83.40,+0.40,"3,986"
78,109/05/06,"6,142,593","511,218,824",83.30,83.75,82.60,83.50,+0.10,"3,610"
79,109/05/07,"6,140,995","514,715,030",83.50,84.15,83.30,83.85,+0.35,"3,429"
80,109/05/08,"6,034,013","508,981,564",84.60,84.75,84.00,84.35,+0.50,"3,530"
81,109/05/11,"6,655,422","566,557,718",85.00,85.40,84.70,85.05,+0.70,"4,065"
82,109/05/12,"11,549,365","970,944,184",84.60,84.60,83.65,84.05,-1.00,"6,496"
83,109/05/13,"4,967,165","417,187,216",83.70,84.40,83.60,84.30,+0.25,"2,672"
84,109/05/14,"8,743,268","729,929,358",83.80,83.85,83.20,83.30,-1.00,"4,975"
85,109/05/15,"6,190,781","518,392,098",84.05,84.25,83.05,83.85,+0.55,"3,135"
86,109/05/18,"8,271,703","687,412,937",83.05,83.45,82.80,83.15,-0.70,"4,054"
87,109/05/19,"5,477,775","460,004,900",84.40,84.50,83.65,83.90,+0.75,"3,225"
88,109/05/20,"9,894,141","830,898,729",84.00,84.20,83.50,83.80,-0.10,"8,013"
89,109/05/21,"7,568,047","639,149,173",84.15,84.80,84.10,84.50,+0.70,"3,658"
90,109/05/22,"13,354,146","1,110,886,948",83.80,83.90,82.90,82.95,-1.55,"8,390"
91,109/05/25,"5,250,544","435,011,428",83.15,83.50,82.15,83.50,+0.55,"3,380"
92,109/05/26,"15,454,949","1,305,177,905",84.25,84.65,83.85,84.45,+0.95,"5,465"
93,109/05/27,"4,589,767","387,703,276",84.70,84.85,84.05,84.35,-0.10,"3,012"
94,109/05/28,"7,476,909","630,228,694",84.90,84.90,83.55,83.85,-0.50,"3,104"
95,109/05/29,"5,320,690","444,529,073",83.40,84.45,83.00,84.45,+0.60,"2,851"
96,109/06/01,"8,365,321","709,979,535",84.45,85.15,84.40,84.90,+0.45,"4,221"
97,109/06/02,"11,947,060","1,019,866,379",85.00,85.50,85.00,85.30,+0.40,"4,546"
98,109/06/03,"18,117,244","1,567,235,805",86.15,86.90,86.10,86.80,+1.50,"7,251"
99,109/06/04,"15,036,553","1,315,498,861",87.50,87.75,87.15,87.60,+0.80,"6,182"
100,109/06/05,"9,916,582","873,460,722",87.70,88.35,87.70,88.35,+0.75,"5,501"
101,109/06/08,"15,549,542","1,388,746,538",88.90,89.80,88.80,89.50,+1.15,"7,617"
102,109/06/09,"11,356,579","1,016,232,445",89.60,89.80,88.95,89.60,+0.10,"4,738"
103,109/06/10,"10,998,897","992,706,489",89.65,90.70,89.55,90.45,+0.85,"6,189"
104,109/06/11,"14,179,192","1,274,547,880",90.45,90.85,89.00,89.05,-1.40,"6,785"
105,109/06/12,"21,563,371","1,896,372,312",87.25,88.50,87.10,88.25,-0.80,"9,065"
106,109/06/15,"9,573,700","839,035,110",88.10,88.30,86.90,87.00,-1.25,"6,066"
107,109/06/16,"10,841,047","962,708,421",88.15,89.20,88.15,88.90,+1.90,"5,206"
108,109/06/17,"11,510,236","1,022,814,504",89.20,89.20,88.30,89.00,+0.10,"9,354"
109,109/06/18,"5,035,751","447,396,539",89.05,89.30,88.35,88.90,-0.10,"2,385"
110,109/06/19,"2,333,985","207,473,976",89.00,89.15,88.65,88.85,-0.05,"1,483"
111,109/06/22,"10,579,456","943,788,276",88.85,89.70,88.85,89.05,+0.20,"3,109"
112,109/06/23,"8,664,889","775,774,053",89.60,90.05,88.80,89.45,+0.40,"3,040"
113,109/06/24,"10,061,904","907,813,260",89.80,90.50,89.80,90.00,+0.55,"4,330"
114,109/06/29,"9,785,007","872,080,579",89.25,89.60,88.65,89.10,-0.90,"5,184"
115,109/06/30,"8,035,137","720,381,822",89.55,89.95,89.40,89.90,+0.80,"2,697"
116,109/07/01,"9,979,250","904,497,055",89.95,90.90,89.95,90.50,+0.60,"4,711"
117,109/07/02,"7,601,474","693,803,341",90.65,91.50,90.60,91.50,+1.00,"4,366"
118,109/07/03,"14,983,163","1,385,847,691",92.10,92.75,92.10,92.55,+1.05,"6,056"
119,109/07/06,"14,469,339","1,358,063,416",93.20,94.30,93.20,94.15,+1.60,"8,897"
120,109/07/07,"13,927,773","1,319,126,267",95.00,95.50,94.10,94.50,+0.35,"6,723"
121,109/07/08,"11,145,368","1,059,607,510",94.50,95.40,94.40,95.15,+0.65,"5,083"
122,109/07/09,"7,241,657","692,045,803",95.70,95.85,95.15,95.45,+0.30,"3,549"
123,109/07/10,"11,502,554","1,094,033,243",95.55,95.70,94.60,94.65,-0.80,"5,770"
124,109/07/13,"12,054,512","1,153,447,842",95.40,96.10,95.25,96.05,+1.40,"5,984"
125,109/07/14,"13,480,664","1,295,085,558",95.80,96.65,95.70,96.65,+0.60,"4,715"
126,109/07/15,"21,315,724","2,077,523,237",97.30,97.95,96.70,97.05,+0.40,"11,931"
127,109/07/16,"7,632,129","735,642,427",97.00,97.00,95.85,96.10,-0.95,"5,029"
128,109/07/17,"18,010,470","1,751,082,740",97.05,97.70,96.70,97.20,+1.10,"7,731"
129,109/07/20,"9,486,407","918,916,229",97.20,97.35,96.25,97.05,-0.15,"6,545"
130,109/07/21,"24,740,975","2,433,422,779",97.15,99.10,97.10,98.70,X0.00,"12,450"
131,109/07/22,"7,243,893","717,050,857",98.55,99.25,98.35,98.95,+0.25,"4,151"
132,109/07/23,"6,008,972","592,464,031",98.85,98.90,98.10,98.85,-0.10,"3,535"
133,109/07/24,"17,377,622","1,724,382,788",99.00,100.10,98.25,98.50,-0.35,"6,823"
134,109/07/27,"22,874,174","2,356,342,872",101.80,103.55,101.80,103.30,+4.80,"11,883"
135,109/07/28,"22,422,761","2,379,933,200",107.25,108.70,103.30,103.60,+0.30,"11,952"
136,109/07/29,"9,636,665","992,523,048",102.80,103.80,102.10,102.55,-1.05,"4,854"
137,109/07/30,"6,587,085","685,105,923",104.20,105.00,103.30,104.05,+1.50,"3,693"
138,109/07/31,"5,314,021","551,884,860",103.90,104.30,103.45,103.80,-0.25,"3,221"
139,109/08/03,"7,258,914","744,236,128",103.45,103.50,102.00,102.00,-1.80,"4,831"
140,109/08/04,"4,798,147","493,967,922",102.55,103.35,102.55,103.30,+1.30,"3,057"
141,109/08/05,"5,106,381","531,964,659",104.10,104.50,103.75,104.30,+1.00,"3,080"
142,109/08/06,"7,430,095","783,441,756",105.45,105.95,104.85,105.40,+1.10,"4,239"
143,109/08/07,"6,803,730","712,917,364",105.55,105.55,104.30,104.65,-0.75,"3,541"
144,109/08/10,"5,905,752","622,370,140",104.10,105.85,104.10,105.60,+0.95,"4,997"
145,109/08/11,"3,199,141","336,459,703",105.40,105.65,104.75,104.80,-0.80,"2,468"
146,109/08/12,"5,916,723","611,921,693",104.00,104.00,103.00,103.25,-1.55,"3,418"
147,109/08/13,"5,461,251","570,110,533",104.70,104.90,104.05,104.25,+1.00,"2,280"
148,109/08/14,"3,779,950","393,960,616",103.80,104.50,103.50,104.50,+0.25,"2,051"
149,109/08/17,"5,641,660","593,122,510",104.50,105.70,104.25,105.60,+1.10,"3,812"
150,109/08/18,"3,745,611","393,780,655",105.70,105.90,104.65,105.00,-0.60,"2,556"
151,109/08/19,"6,043,314","631,939,609",105.00,105.45,104.10,104.25,-0.75,"5,186"
152,109/08/20,"18,738,215","1,897,013,023",103.80,103.80,98.70,100.60,-3.65,"11,099"
153,109/08/21,"8,132,713","832,420,919",102.15,103.00,101.70,102.80,+2.20,"5,138"
154,109/08/24,"3,718,559","383,234,215",102.85,103.55,102.30,103.10,+0.30,"2,576"
155,109/08/25,"3,609,809","375,149,258",103.45,104.35,103.35,103.90,+0.80,"2,447"
156,109/08/26,"2,665,520","277,638,503",104.00,104.35,103.60,104.30,+0.40,"2,573"
157,109/08/27,"5,706,106","599,909,101",105.10,105.70,104.45,104.55,+0.25,"2,953"
158,109/08/28,"3,913,299","405,257,434",103.85,104.25,103.00,103.50,-1.05,"2,680"
159,109/08/31,"5,759,933","593,120,338",104.10,104.25,101.80,101.80,-1.70,"3,452"
160,109/09/01,"5,735,637","587,861,691",102.45,103.35,101.85,103.35,+1.55,"2,800"
161,109/09/02,"4,133,083","425,506,025",103.65,104.05,102.30,103.00,-0.35,"2,025"
162,109/09/03,"5,129,198","532,334,317",103.70,104.30,103.20,103.30,+0.30,"2,346"
163,109/09/04,"5,916,012","604,970,586",102.00,102.70,101.90,102.55,-0.75,"3,361"
164,109/09/07,"5,499,657","563,619,413",102.55,103.05,101.90,102.40,-0.15,"3,954"
165,109/09/08,"4,504,453","463,379,909",102.75,103.10,102.45,103.00,+0.60,"2,719"
166,109/09/09,"6,274,033","637,408,220",101.75,102.35,101.15,102.30,-0.70,"3,797"
167,109/09/10,"3,581,337","369,033,967",102.80,103.35,102.60,103.20,+0.90,"2,701"
